Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sat Nov 2 2013,9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,19498,EnergySolutions Arena,
Sat Nov 2 2013,10:00p,San Antonio Spurs,105,Portland Trail Blazers,115,Box Score,,20028,Moda Center,
Sat Nov 2 2013,10:30p,Sacramento Kings,87,Golden State Warriors,98,Box Score,,19596,Oracle Arena,
Sun Nov 3 2013,6:00p,Boston Celtics,77,Detroit Pistons,87,Box Score,,14978,The Palace of Auburn Hills,
Sun Nov 3 2013,6:00p,Washington Wizards,93,Miami Heat,103,Box Score,,19600,AmericanAirlines Arena,
Sun Nov 3 2013,6:00p,Brooklyn Nets,86,Orlando Magic,107,Box Score,,15297,Amway Center,
Sun Nov 3 2013,7:00p,Phoenix Suns,96,Oklahoma City Thunder,103,Box Score,,18203,Chesapeake Energy Arena,
Sun Nov 3 2013,7:30p,Minnesota Timberwolves,109,New York Knicks,100,Box Score,,19812,Madison Square Garden (IV),
Sun Nov 3 2013,9:30p,Atlanta Hawks,103,Los Angeles Lakers,105,Box Score,,18997,STAPLES Center,
Mon Nov 4 2013,7:00p,Minnesota Timberwolves,92,Cleveland Cavaliers,93,Box Score,,17892,Quicken Loans Arena,
Mon Nov 4 2013,7:00p,Golden State Warriors,110,Philadelphia 76ers,90,Box Score,,11089,Wells Fargo Center,
Mon Nov 4 2013,8:00p,Boston Celtics,88,Memphis Grizzlies,95,Box Score,,15872,FedEx Forum,
Mon Nov 4 2013,10:30p,Houston Rockets,118,Los Angeles Clippers,137,Box Score,,19404,STAPLES Center,
Tue Nov 5 2013,7:00p,Miami Heat,104,Toronto Raptors,95,Box Score,,18470,Air Canada Centre,
Tue Nov 5 2013,7:30p,Utah Jazz,88,Brooklyn Nets,104,Box Score,,17732,Barclays Center,
Tue Nov 5 2013,7:30p,Indiana Pacers,99,Detroit Pistons,91,Box Score,,13401,The Palace of Auburn Hills,
Tue Nov 5 2013,7:30p,Charlotte Bobcats,102,New York Knicks,97,Box Score,,19812,Madison Square Garden (IV),
Tue Nov 5 2013,8:00p,Phoenix Suns,104,New Orleans Pelicans,98,Box Score,,13404,Smoothie King Center,
Tue Nov 5 2013,8:30p,Los Angeles Lakers,104,Dallas Mavericks,123,Box Score,,19670,American Airlines Center,
Tue Nov 5 2013,9:00p,San Antonio Spurs,102,Denver Nuggets,94,Box Score,,15721,Pepsi Center,
Tue Nov 5 2013,10:00p,Houston Rockets,116,Portland Trail Blazers,101,Box Score,,17491,Moda Center,
Tue Nov 5 2013,10:00p,Atlanta Hawks,105,Sacramento Kings,100,Box Score,,13506,Sleep Train Arena,
Wed Nov 6 2013,7:00p,Toronto Raptors,90,Charlotte Bobcats,92,Box Score,,11118,Time Warner Cable Arena,
Wed Nov 6 2013,7:00p,Chicago Bulls,80,Indiana Pacers,97,Box Score,,18165,Bankers Life Fieldhouse,
Wed Nov 6 2013,7:00p,Los Angeles Clippers,90,Orlando Magic,98,Box Score,,15807,Amway Center,
Wed Nov 6 2013,7:00p,Washington Wizards,116,Philadelphia 76ers,102,Box Score,,10117,Wells Fargo Center,
Wed Nov 6 2013,7:30p,Utah Jazz,87,Boston Celtics,97,Box Score,,17130,TD Garden,
Wed Nov 6 2013,8:00p,New Orleans Pelicans,99,Memphis Grizzlies,84,Box Score,,15209,FedEx Forum,
Wed Nov 6 2013,8:00p,Cleveland Cavaliers,104,Milwaukee Bucks,109,Box Score,,14340,BMO Harris Bradley Center,
Wed Nov 6 2013,8:00p,Golden State Warriors,106,Minnesota Timberwolves,93,Box Score,,15559,Target Center,
Wed Nov 6 2013,8:30p,Phoenix Suns,96,San Antonio Spurs,99,Box Score,,17870,AT&T Center,
Wed Nov 6 2013,9:30p,Dallas Mavericks,93,Oklahoma City Thunder,107,Box Score,,18203,Chesapeake Energy Arena,
Thu Nov 7 2013,7:00p,Los Angeles Clippers,97,Miami Heat,102,Box Score,,19600,AmericanAirlines Arena,
Thu Nov 7 2013,9:00p,Atlanta Hawks,107,Denver Nuggets,109,Box Score,,15404,Pepsi Center,
Thu Nov 7 2013,9:30p,Los Angeles Lakers,99,Houston Rockets,98,Box Score,,18133,Toyota Center,
Fri Nov 8 2013,7:00p,New York Knicks,101,Charlotte Bobcats,91,Box Score,,16465,Time Warner Cable Arena,
Fri Nov 8 2013,7:00p,Toronto Raptors,84,Indiana Pacers,91,Box Score,,13316,Bankers Life Fieldhouse,
Fri Nov 8 2013,7:00p,Boston Celtics,91,Orlando Magic,89,Box Score,,17555,Amway Center,
Fri Nov 8 2013,7:00p,Cleveland Cavaliers,79,Philadelphia 76ers,94,Box Score,,15219,Wells Fargo Center,
Fri Nov 8 2013,7:00p,Brooklyn Nets,108,Washington Wizards,112,Box Score,OT,17215,Verizon Center,
Fri Nov 8 2013,7:30p,Oklahoma City Thunder,119,Detroit Pistons,110,Box Score,,15624,The Palace of Auburn Hills,
Fri Nov 8 2013,8:00p,Utah Jazz,73,Chicago Bulls,97,Box Score,,21946,United Center,
Fri Nov 8 2013,8:00p,Dallas Mavericks,108,Minnesota Timberwolves,116,Box Score,,13677,Target Center,
Fri Nov 8 2013,8:00p,Los Angeles Lakers,85,New Orleans Pelicans,96,Box Score,,18209,Smoothie King Center,
Fri Nov 8 2013,8:30p,Golden State Warriors,74,San Antonio Spurs,76,Box Score,,18581,AT&T Center,
Fri Nov 8 2013,9:00p,Denver Nuggets,103,Phoenix Suns,114,Box Score,,15145,US Airways Center,
Fri Nov 8 2013,10:00p,Sacramento Kings,91,Portland Trail Blazers,104,Box Score,,17627,Moda Center,
Sat Nov 9 2013,7:00p,Utah Jazz,91,Toronto Raptors,115,Box Score,,17211,Air Canada Centre,
Sat Nov 9 2013,7:30p,Orlando Magic,94,Atlanta Hawks,104,Box Score,,15189,Philips Arena,
Sat Nov 9 2013,7:30p,Indiana Pacers,96,Brooklyn Nets,91,Box Score,,17732,Barclays Center,
Sat Nov 9 2013,7:30p,Philadelphia 76ers,125,Cleveland Cavaliers,127,Box Score,2OT,20562,Quicken Loans Arena,
Sat Nov 9 2013,7:30p,Boston Celtics,111,Miami Heat,110,Box Score,,19710,AmericanAirlines Arena,
Sat Nov 9 2013,8:00p,Los Angeles Clippers,107,Houston Rockets,94,Box Score,,18108,Toyota Center,
Sat Nov 9 2013,8:00p,Golden State Warriors,90,Memphis Grizzlies,108,Box Score,,16989,FedEx Forum,
Sat Nov 9 2013,8:30p,Dallas Mavericks,91,Milwaukee Bucks,83,Box Score,,16448,BMO Harris Bradley Center,
Sat Nov 9 2013,10:00p,Portland Trail Blazers,96,Sacramento Kings,85,Box Score,,15482,Sleep Train Arena,
Sun Nov 10 2013,12:00p,San Antonio Spurs,120,New York Knicks,89,Box Score,,19812,Madison Square Garden (IV),
Sun Nov 10 2013,7:00p,Washington Wizards,105,Oklahoma City Thunder,106,Box Score,OT,18203,Chesapeake Energy Arena,
Sun Nov 10 2013,8:00p,New Orleans Pelicans,94,Phoenix Suns,101,Box Score,,13154,US Airways Center,
Sun Nov 10 2013,9:30p,Minnesota Timberwolves,113,Los Angeles Lakers,90,Box Score,,18997,STAPLES Center,
Mon Nov 11 2013,7:00p,Atlanta Hawks,103,Charlotte Bobcats,94,Box Score,,13996,Time Warner Cable Arena,
Mon Nov 11 2013,7:00p,Memphis Grizzlies,79,Indiana Pacers,95,Box Score,,13130,Bankers Life Fieldhouse,
Mon Nov 11 2013,7:00p,San Antonio Spurs,109,Philadelphia 76ers,85,Box Score,,12424,Wells Fargo Center,
Mon Nov 11 2013,7:30p,Orlando Magic,105,Boston Celtics,120,Box Score,,18624,TD Garden,
Mon Nov 11 2013,8:00p,Cleveland Cavaliers,81,Chicago Bulls,96,Box Score,,21778,United Center,
Mon Nov 11 2013,8:00p,Toronto Raptors,104,Houston Rockets,110,Box Score,2OT,18134,Toyota Center,
Mon Nov 11 2013,9:00p,Denver Nuggets,100,Utah Jazz,81,Box Score,,16866,EnergySolutions Arena,
Mon Nov 11 2013,10:00p,Detroit Pistons,103,Portland Trail Blazers,109,Box Score,,18834,Moda Center,
Mon Nov 11 2013,10:30p,Minnesota Timberwolves,107,Los Angeles Clippers,109,Box Score,,19060,STAPLES Center,
Tue Nov 12 2013,7:30p,Milwaukee Bucks,95,Miami Heat,118,Box Score,,19600,AmericanAirlines Arena,
Tue Nov 12 2013,8:30p,Washington Wizards,95,Dallas Mavericks,105,Box Score,,19627,American Airlines Center,
Tue Nov 12 2013,10:30p,Detroit Pistons,95,Golden State Warriors,113,Box Score,,19596,Oracle Arena,
Tue Nov 12 2013,10:30p,New Orleans Pelicans,95,Los Angeles Lakers,116,Box Score,,18426,STAPLES Center,
Wed Nov 13 2013,7:00p,Milwaukee Bucks,91,Orlando Magic,94,Box Score,,13588,Amway Center,
Wed Nov 13 2013,7:00p,Houston Rockets,117,Philadelphia 76ers,123,Box Score,OT,11671,Wells Fargo Center,
Wed Nov 13 2013,7:30p,Charlotte Bobcats,89,Boston Celtics,83,Box Score,,17032,TD Garden,
Wed Nov 13 2013,8:00p,New York Knicks,95,Atlanta Hawks,91,Box Score,,15057,Philips Arena,
Wed Nov 13 2013,8:00p,Toronto Raptors,103,Memphis Grizzlies,87,Box Score,,15971,FedEx Forum,
Wed Nov 13 2013,8:00p,Cleveland Cavaliers,95,Minnesota Timberwolves,124,Box Score,,14978,Target Center,
Wed Nov 13 2013,8:30p,Washington Wizards,79,San Antonio Spurs,92,Box Score,,18581,AT&T Center,
Wed Nov 13 2013,9:00p,Los Angeles Lakers,99,Denver Nuggets,111,Box Score,,17824,Pepsi Center,
Wed Nov 13 2013,9:00p,New Orleans Pelicans,105,Utah Jazz,111,Box Score,,16717,EnergySolutions Arena,
Wed Nov 13 2013,10:00p,Phoenix Suns,89,Portland Trail Blazers,90,Box Score,,19537,Moda Center,
Wed Nov 13 2013,10:00p,Brooklyn Nets,86,Sacramento Kings,107,Box Score,,15122,Sleep Train Arena,
Wed Nov 13 2013,10:30p,Oklahoma City Thunder,103,Los Angeles Clippers,111,Box Score,,19273,STAPLES Center,
Thu Nov 14 2013,8:00p,Houston Rockets,109,New York Knicks,106,Box Score,,19812,Madison Square Garden (IV),
Thu Nov 14 2013,10:30p,Oklahoma City Thunder,115,Golden State Warriors,116,Box Score,,19596,Oracle Arena,
Fri Nov 15 2013,7:00p,Milwaukee Bucks,77,Indiana Pacers,104,Box Score,,16202,Bankers Life Fieldhouse,
Fri Nov 15 2013,7:00p,Chicago Bulls,96,Toronto Raptors,80,Box Score,,19800,Air Canada Centre,
Fri Nov 15 2013,7:30p,Philadelphia 76ers,103,Atlanta Hawks,113,Box Score,,12070,Philips Arena,
Fri Nov 15 2013,7:30p,Portland Trail Blazers,109,Boston Celtics,96,Box Score,,18624,TD Garden,
Fri Nov 15 2013,7:30p,Charlotte Bobcats,86,Cleveland Cavaliers,80,Box Score,,18679,Quicken Loans Arena,
Fri Nov 15 2013,7:30p,Dallas Mavericks,104,Miami Heat,110,Box Score,,19772,AmericanAirlines Arena,
Fri Nov 15 2013,8:00p,Minnesota Timberwolves,113,Denver Nuggets,117,Box Score,,17142,Pepsi Center,
Fri Nov 15 2013,9:00p,Brooklyn Nets,100,Phoenix Suns,98,Box Score,OT,15984,US Airways Center,
Fri Nov 15 2013,9:00p,San Antonio Spurs,91,Utah Jazz,82,Box Score,,17530,EnergySolutions Arena,
Fri Nov 15 2013,10:30p,Memphis Grizzlies,89,Los Angeles Lakers,86,Box Score,,18997,STAPLES Center,
Fri Nov 15 2013,10:30p,Detroit Pistons,97,Sacramento Kings,90,Box Score,,17317,Sleep Train Arena,
Sat Nov 16 2013,7:00p,Miami Heat,97,Charlotte Bobcats,81,Box Score,,19084,Time Warner Cable Arena,
Sat Nov 16 2013,7:00p,Dallas Mavericks,108,Orlando Magic,100,Box Score,,15039,Amway Center,
Sat Nov 16 2013,7:00p,Cleveland Cavaliers,103,Washington Wizards,96,Box Score,OT,18038,Verizon Center,
Sat Nov 16 2013,7:30p,Atlanta Hawks,110,New York Knicks,90,Box Score,,19812,Madison Square Garden (IV),
Sat Nov 16 2013,8:00p,Indiana Pacers,94,Chicago Bulls,110,Box Score,,22158,United Center,
Sat Nov 16 2013,8:00p,Denver Nuggets,111,Houston Rockets,122,Box Score,,18147,Toyota Center,
Sat Nov 16 2013,8:00p,Boston Celtics,88,Minnesota Timberwolves,106,Box Score,,15111,Target Center,
Sat Nov 16 2013,8:00p,Philadelphia 76ers,98,New Orleans Pelicans,135,Box Score,,16659,Smoothie King Center,
Sat Nov 16 2013,8:30p,Oklahoma City Thunder,92,Milwaukee Bucks,79,Box Score,,15984,BMO Harris Bradley Center,
Sat Nov 16 2013,10:30p,Utah Jazz,88,Golden State Warriors,102,Box Score,,19596,Oracle Arena,
Sat Nov 16 2013,10:30p,Brooklyn Nets,103,Los Angeles Clippers,110,Box Score,,19349,STAPLES Center,
Sun Nov 17 2013,1:00p,Portland Trail Blazers,118,Toronto Raptors,110,Box Score,OT,17945,Air Canada Centre,
Sun Nov 17 2013,6:00p,Memphis Grizzlies,97,Sacramento Kings,86,Box Score,,15630,Sleep Train Arena,
Sun Nov 17 2013,9:30p,Detroit Pistons,99,Los Angeles Lakers,114,Box Score,,18997,STAPLES Center,
Mon Nov 18 2013,7:30p,Portland Trail Blazers,108,Brooklyn Nets,98,Box Score,,17732,Barclays Center,
Mon Nov 18 2013,8:00p,Charlotte Bobcats,81,Chicago Bulls,86,Box Score,,21628,United Center,
Mon Nov 18 2013,8:00p,Denver Nuggets,113,Oklahoma City Thunder,115,Box Score,,18203,Chesapeake Energy Arena,
Mon Nov 18 2013,8:30p,Philadelphia 76ers,94,Dallas Mavericks,97,Box Score,,19790,American Airlines Center,
Mon Nov 18 2013,9:00p,Golden State Warriors,98,Utah Jazz,87,Box Score,,16051,EnergySolutions Arena,
Mon Nov 18 2013,10:30p,Memphis Grizzlies,106,Los Angeles Clippers,102,Box Score,,19060,STAPLES Center,
Tue Nov 19 2013,7:00p,Minnesota Timberwolves,100,Washington Wizards,104,Box Score,,14804,Verizon Center,
Tue Nov 19 2013,7:30p,New York Knicks,86,Detroit Pistons,92,Box Score,,13213,The Palace of Auburn Hills,
Tue Nov 19 2013,7:30p,Atlanta Hawks,88,Miami Heat,104,Box Score,,19600,AmericanAirlines Arena,
Tue Nov 19 2013,8:00p,Boston Celtics,85,Houston Rockets,109,Box Score,,18232,Toyota Center,
Tue Nov 19 2013,10:00p,Phoenix Suns,104,Sacramento Kings,107,Box Score,,14626,Sleep Train Arena,
Wed Nov 20 2013,7:00p,Brooklyn Nets,91,Charlotte Bobcats,95,Box Score,,13843,Time Warner Cable Arena,
Wed Nov 20 2013,7:00p,Washington Wizards,98,Cleveland Cavaliers,91,Box Score,,16189,Quicken Loans Arena,
Wed Nov 20 2013,7:00p,Indiana Pacers,103,New York Knicks,96,Box Score,OT,19812,Madison Square Garden (IV),
Wed Nov 20 2013,7:00p,Miami Heat,120,Orlando Magic,92,Box Score,,17256,Amway Center,
Wed Nov 20 2013,7:00p,Toronto Raptors,108,Philadelphia 76ers,98,Box Score,,10787,Wells Fargo Center,
Wed Nov 20 2013,7:30p,Detroit Pistons,85,Atlanta Hawks,93,Box Score,,13167,Philips Arena,
Wed Nov 20 2013,8:00p,Portland Trail Blazers,91,Milwaukee Bucks,82,Box Score,,11789,BMO Harris Bradley Center,
Wed Nov 20 2013,8:00p,Los Angeles Clippers,102,Minnesota Timberwolves,98,Box Score,,13101,Target Center,
Wed Nov 20 2013,8:00p,Utah Jazz,98,New Orleans Pelicans,105,Box Score,,13203,Smoothie King Center,
Wed Nov 20 2013,8:30p,Boston Celtics,93,San Antonio Spurs,104,Box Score,,18581,AT&T Center,
Wed Nov 20 2013,9:00p,Sacramento Kings,113,Phoenix Suns,106,Box Score,,12705,US Airways Center,
Wed Nov 20 2013,9:30p,Houston Rockets,120,Dallas Mavericks,123,Box Score,,20045,American Airlines Center,
Wed Nov 20 2013,10:30p,Memphis Grizzlies,88,Golden State Warriors,81,Box Score,OT,19596,Oracle Arena,
Thu Nov 21 2013,8:00p,Los Angeles Clippers,91,Oklahoma City Thunder,105,Box Score,,18203,Chesapeake Energy Arena,
Thu Nov 21 2013,10:30p,Chicago Bulls,87,Denver Nuggets,97,Box Score,,18423,Pepsi Center,
Fri Nov 22 2013,7:00p,Phoenix Suns,98,Charlotte Bobcats,91,Box Score,,14916,Time Warner Cable Arena,
Fri Nov 22 2013,7:00p,Milwaukee Bucks,107,Philadelphia 76ers,115,Box Score,OT,13588,Wells Fargo Center,
Fri Nov 22 2013,7:00p,Washington Wizards,88,Toronto Raptors,96,Box Score,,18671,Air Canada Centre,
Fri Nov 22 2013,7:30p,Indiana Pacers,97,Boston Celtics,82,Box Score,,18624,TD Garden,
Fri Nov 22 2013,7:30p,Atlanta Hawks,96,Detroit Pistons,89,Box Score,,13467,The Palace of Auburn Hills,
Fri Nov 22 2013,8:00p,San Antonio Spurs,102,Memphis Grizzlies,86,Box Score,,17109,FedEx Forum,
Fri Nov 22 2013,8:00p,Brooklyn Nets,81,Minnesota Timberwolves,111,Box Score,,15551,Target Center,
Fri Nov 22 2013,8:00p,Cleveland Cavaliers,100,New Orleans Pelicans,104,Box Score,,15186,Smoothie King Center,
Fri Nov 22 2013,8:30p,Utah Jazz,93,Dallas Mavericks,103,Box Score,,19781,American Airlines Center,
Fri Nov 22 2013,10:00p,Chicago Bulls,95,Portland Trail Blazers,98,Box Score,,20618,Moda Center,
Fri Nov 22 2013,10:30p,Golden State Warriors,95,Los Angeles Lakers,102,Box Score,,18997,STAPLES Center,
Sat Nov 23 2013,3:30p,Sacramento Kings,102,Los Angeles Clippers,103,Box Score,,19060,STAPLES Center,
Sat Nov 23 2013,7:00p,Philadelphia 76ers,98,Indiana Pacers,106,Box Score,,18165,Bankers Life Fieldhouse,
Sat Nov 23 2013,7:00p,New York Knicks,89,Washington Wizards,98,Box Score,,18089,Verizon Center,
Sat Nov 23 2013,7:30p,Boston Celtics,94,Atlanta Hawks,87,Box Score,,15189,Philips Arena,
Sat Nov 23 2013,7:30p,Orlando Magic,99,Miami Heat,101,Box Score,,19647,AmericanAirlines Arena,
Sat Nov 23 2013,8:00p,Minnesota Timberwolves,101,Houston Rockets,112,Box Score,,18196,Toyota Center,
Sat Nov 23 2013,8:30p,Charlotte Bobcats,96,Milwaukee Bucks,72,Box Score,,14871,BMO Harris Bradley Center,
Sat Nov 23 2013,8:30p,Cleveland Cavaliers,96,San Antonio Spurs,126,Box Score,,18581,AT&T Center,
Sat Nov 23 2013,9:00p,Dallas Mavericks,100,Denver Nuggets,102,Box Score,,17841,Pepsi Center,
Sat Nov 23 2013,10:30p,Portland Trail Blazers,113,Golden State Warriors,101,Box Score,,19596,Oracle Arena,
Sun Nov 24 2013,2:00p,Detroit Pistons,109,Brooklyn Nets,97,Box Score,,17732,Barclays Center,
Sun Nov 24 2013,3:30p,Chicago Bulls,82,Los Angeles Clippers,121,Box Score,,19245,STAPLES Center,
Sun Nov 24 2013,6:00p,Phoenix Suns,104,Orlando Magic,96,Box Score,,15785,Amway Center,
Sun Nov 24 2013,7:00p,Utah Jazz,73,Oklahoma City Thunder,95,Box Score,,18203,Chesapeake Energy Arena,
Sun Nov 24 2013,9:30p,Sacramento Kings,86,Los Angeles Lakers,100,Box Score,,18997,STAPLES Center,
Mon Nov 25 2013,7:00p,Boston Celtics,96,Charlotte Bobcats,86,Box Score,,13558,Time Warner Cable Arena,
Mon Nov 25 2013,7:00p,Minnesota Timberwolves,84,Indiana Pacers,98,Box Score,,16426,Bankers Life Fieldhouse,
Mon Nov 25 2013,7:30p,Milwaukee Bucks,94,Detroit Pistons,113,Box Score,,12150,The Palace of Auburn Hills,
Mon Nov 25 2013,7:30p,Phoenix Suns,92,Miami Heat,107,Box Score,,19758,AmericanAirlines Arena,
Mon Nov 25 2013,8:00p,Houston Rockets,93,Memphis Grizzlies,86,Box Score,,15246,FedEx Forum,
Mon Nov 25 2013,8:30p,Denver Nuggets,110,Dallas Mavericks,96,Box Score,,19677,American Airlines Center,
Mon Nov 25 2013,8:30p,New Orleans Pelicans,93,San Antonio Spurs,112,Box Score,,18323,AT&T Center,
Mon Nov 25 2013,9:00p,Chicago Bulls,83,Utah Jazz,89,Box Score,OT,18936,EnergySolutions Arena,
Mon Nov 25 2013,10:00p,New York Knicks,91,Portland Trail Blazers,102,Box Score,,19939,Moda Center,
Tue Nov 26 2013,7:00p,Brooklyn Nets,102,Toronto Raptors,100,Box Score,,16421,Air Canada Centre,
Tue Nov 26 2013,7:00p,Los Angeles Lakers,111,Washington Wizards,116,Box Score,,19204,Verizon Center,
Tue Nov 26 2013,7:30p,Orlando Magic,109,Atlanta Hawks,92,Box Score,,13164,Philips Arena,
Tue Nov 26 2013,8:00p,Golden State Warriors,102,New Orleans Pelicans,101,Box Score,,15330,Smoothie King Center,
Wed Nov 27 2013,7:00p,Indiana Pacers,99,Charlotte Bobcats,74,Box Score,,15170,Time Warner Cable Arena,
Wed Nov 27 2013,7:00p,Philadelphia 76ers,94,Orlando Magic,105,Box Score,,15839,Amway Center,
Wed Nov 27 2013,7:30p,Memphis Grizzlies,100,Boston Celtics,93,Box Score,,17319,TD Garden,
Wed Nov 27 2013,7:30p,Los Angeles Lakers,99,Brooklyn Nets,94,Box Score,,17732,Barclays Center,
Wed Nov 27 2013,7:30p,Miami Heat,95,Cleveland Cavaliers,84,Box Score,,20562,Quicken Loans Arena,
Wed Nov 27 2013,7:30p,Chicago Bulls,99,Detroit Pistons,79,Box Score,,14228,The Palace of Auburn Hills,
Wed Nov 27 2013,8:00p,Atlanta Hawks,84,Houston Rockets,113,Box Score,,18051,Toyota Center,
Wed Nov 27 2013,8:00p,Washington Wizards,100,Milwaukee Bucks,92,Box Score,OT,11584,BMO Harris Bradley Center,
Wed Nov 27 2013,8:00p,Denver Nuggets,117,Minnesota Timberwolves,110,Box Score,,14244,Target Center,
Wed Nov 27 2013,8:00p,San Antonio Spurs,88,Oklahoma City Thunder,94,Box Score,,18203,Chesapeake Energy Arena,
Wed Nov 27 2013,8:30p,Golden State Warriors,99,Dallas Mavericks,103,Box Score,,20211,American Airlines Center,
Wed Nov 27 2013,9:00p,Portland Trail Blazers,106,Phoenix Suns,120,Box Score,,12731,US Airways Center,
Wed Nov 27 2013,10:30p,New York Knicks,80,Los Angeles Clippers,93,Box Score,,19270,STAPLES Center,
Fri Nov 29 2013,7:00p,Milwaukee Bucks,76,Charlotte Bobcats,92,Box Score,,15081,Time Warner Cable Arena,
Fri Nov 29 2013,7:00p,San Antonio Spurs,109,Orlando Magic,91,Box Score,,15159,Amway Center,
Fri Nov 29 2013,7:00p,Miami Heat,90,Toronto Raptors,83,Box Score,,18290,Air Canada Centre,
Fri Nov 29 2013,7:30p,Dallas Mavericks,87,Atlanta Hawks,88,Box Score,,15463,Philips Arena,
Fri Nov 29 2013,7:30p,Cleveland Cavaliers,86,Boston Celtics,103,Box Score,,17685,TD Garden,
Fri Nov 29 2013,7:30p,Los Angeles Lakers,106,Detroit Pistons,102,Box Score,,15202,The Palace of Auburn Hills,
Fri Nov 29 2013,8:00p,Brooklyn Nets,95,Houston Rockets,114,Box Score,,18138,Toyota Center,
