Team,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Brooklyn Nets,0.494,0.392,0.565,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6,2020
Washington Wizards,0.475,0.351,0.533,0.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6,2020
Utah Jazz,0.468,0.389,0.544,0.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4,2020
Portland Trail Blazers,0.453,0.385,0.509,0.823,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,116.1,2020
Phoenix Suns,0.49,0.378,0.563,0.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,2020
Indiana Pacers,0.474,0.364,0.54,0.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,2020
Denver Nuggets,0.485,0.377,0.552,0.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,2020
New Orleans Pelicans,0.477,0.348,0.544,0.729,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6,2020
Los Angeles Clippers,0.482,0.411,0.529,0.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0,2020
Atlanta Hawks,0.468,0.373,0.526,0.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7,2020
Sacramento Kings,0.481,0.364,0.551,0.745,9.4,32.0,41.4,25.5,7.5,5.0,13.4,19.4,113.7,2020
Golden State Warriors,0.468,0.376,0.541,0.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7,2020
Philadelphia 76ers,0.476,0.374,0.531,0.767,10.0,35.0,45.1,23.7,9.1,6.2,14.4,20.2,113.6,2020
Memphis Grizzlies,0.467,0.356,0.525,0.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,2020
Boston Celtics,0.466,0.374,0.53,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,2020
Dallas Mavericks,0.47,0.362,0.554,0.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,2020
Minnesota Timberwolves,0.448,0.349,0.518,0.761,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1,2020
Toronto Raptors,0.448,0.368,0.512,0.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3,2020
San Antonio Spurs,0.462,0.35,0.514,0.792,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1,2020
Chicago Bulls,0.476,0.37,0.542,0.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7,2020
Los Angeles Lakers,0.472,0.354,0.539,0.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,2020
Charlotte Hornets,0.455,0.369,0.517,0.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5,2020
Houston Rockets,0.444,0.339,0.532,0.74,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8,2020
Miami Heat,0.468,0.358,0.553,0.79,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1,2020
New York Knicks,0.456,0.392,0.49,0.784,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0,2020
Detroit Pistons,0.452,0.351,0.515,0.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,2020
Oklahoma City Thunder,0.441,0.339,0.509,0.725,9.9,35.7,45.6,22.1,7.0,4.4,16.1,18.1,105.0,2020
Orlando Magic,0.429,0.343,0.476,0.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104.0,2020
Cleveland Cavaliers,0.45,0.336,0.51,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,2020
Minnesota Timberwolves,0.457,0.358,0.54,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9,2021
Memphis Grizzlies,0.461,0.353,0.519,0.734,14.1,35.0,49.2,26.0,9.8,6.5,13.2,19.8,115.6,2021
Milwaukee Bucks,0.468,0.366,0.544,0.776,10.2,36.5,46.7,23.9,7.6,4.0,13.4,18.2,115.5,2021
Charlotte Hornets,0.468,0.365,0.542,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3,2021
Phoenix Suns,0.485,0.364,0.551,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,2021
Atlanta Hawks,0.47,0.374,0.531,0.812,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,113.9,2021
Utah Jazz,0.471,0.36,0.568,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14.0,18.9,113.6,2021
San Antonio Spurs,0.467,0.352,0.527,0.754,11.0,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2,2021
Brooklyn Nets,0.475,0.361,0.538,0.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9,2021
Denver Nuggets,0.483,0.353,0.575,0.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20.0,112.7,2021
Los Angeles Lakers,0.469,0.347,0.546,0.732,9.5,34.5,44.0,24.0,7.6,5.2,14.5,20.2,112.1,2021
Boston Celtics,0.466,0.356,0.547,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,2021
Chicago Bulls,0.48,0.369,0.535,0.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6,2021
Indiana Pacers,0.463,0.344,0.541,0.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,111.5,2021
Golden State Warriors,0.469,0.364,0.557,0.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21.0,111.0,2021
Sacramento Kings,0.46,0.344,0.53,0.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3,2021
Miami Heat,0.467,0.379,0.531,0.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110.0,2021
Philadelphia 76ers,0.466,0.364,0.527,0.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9,2021
Houston Rockets,0.456,0.349,0.543,0.713,9.6,32.4,42.0,23.6,7.3,4.7,16.5,20.6,109.7,2021
Toronto Raptors,0.445,0.349,0.503,0.759,13.4,32.0,45.3,22.1,9.0,4.6,12.5,19.6,109.4,2021
New Orleans Pelicans,0.457,0.332,0.528,0.789,12.0,33.2,45.2,25.0,8.3,4.0,14.1,19.7,109.3,2021
Washington Wizards,0.472,0.342,0.543,0.783,9.0,34.1,43.1,25.0,6.4,5.0,13.1,18.8,108.6,2021
Los Angeles Clippers,0.458,0.374,0.512,0.793,9.1,34.9,44.0,24.0,7.4,5.0,13.7,18.6,108.4,2021
Dallas Mavericks,0.461,0.35,0.548,0.771,9.3,33.8,43.0,23.4,6.7,4.0,12.5,19.7,108.0,2021
Cleveland Cavaliers,0.469,0.355,0.541,0.76,10.2,34.0,44.2,25.2,7.1,4.2,14.4,17.5,107.8,2021
New York Knicks,0.437,0.357,0.497,0.744,11.5,34.6,46.1,21.9,7.0,4.9,13.3,20.4,106.5,2021
Portland Trail Blazers,0.442,0.346,0.513,0.76,10.4,32.5,42.9,22.9,8.0,4.5,14.5,21.1,106.2,2021
Detroit Pistons,0.431,0.326,0.498,0.782,11.0,32.0,43.0,23.5,7.7,4.8,14.2,21.9,104.8,2021
Orlando Magic,0.434,0.331,0.507,0.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2,2021
Oklahoma City Thunder,0.43,0.323,0.507,0.756,10.4,35.2,45.6,22.2,7.6,4.6,14.0,18.3,103.7,2021
