Team,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Detroit Pistons,0.432,0.344,0.468,0.703,12.8,32.1,44.9,21.6,7.6,4.7,13.4,19.0,98.5,2014
Memphis Grizzlies,0.458,0.339,0.485,0.773,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3,2014
Brooklyn Nets,0.451,0.331,0.489,0.748,10.3,32.0,42.4,20.9,7.0,4.1,13.8,19.3,98.0,2014
Minnesota Timberwolves,0.438,0.332,0.461,0.776,11.6,29.3,40.9,21.6,8.1,4.0,15.0,19.2,97.8,2014
Milwaukee Bucks,0.459,0.363,0.486,0.757,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8,2014
Indiana Pacers,0.439,0.352,0.469,0.756,10.4,34.4,44.9,21.4,6.2,4.6,14.0,21.2,97.3,2014
Orlando Magic,0.453,0.347,0.486,0.729,10.0,31.8,41.8,20.6,7.9,3.8,14.9,20.9,95.7,2014
Utah Jazz,0.447,0.343,0.486,0.721,12.0,31.9,44.0,19.9,7.6,6.0,15.3,19.3,95.1,2014
Miami Heat,0.456,0.335,0.499,0.741,9.1,30.0,39.1,19.8,7.8,4.5,14.8,20.0,94.7,2014
Charlotte Hornets,0.42,0.318,0.45,0.748,10.0,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2,2014
Philadelphia 76ers,0.408,0.32,0.449,0.676,11.9,30.9,42.9,20.5,9.6,5.9,17.7,21.7,92.0,2014
New York Knicks,0.428,0.347,0.454,0.769,10.6,29.8,40.4,21.3,7.0,4.7,14.7,21.6,91.9,2014
Golden State Warriors,0.487,0.416,0.528,0.763,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9,2015
Oklahoma City Thunder,0.476,0.349,0.524,0.782,13.1,35.6,48.6,23.0,7.4,5.9,15.9,20.6,110.2,2015
Sacramento Kings,0.464,0.359,0.5,0.725,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6,2015
Houston Rockets,0.452,0.347,0.514,0.694,11.3,31.7,43.1,22.2,10.0,5.2,15.9,21.8,106.5,2015
Boston Celtics,0.439,0.335,0.483,0.788,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7,2015
